암호화요양기호,요양기관명_x,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,개설일자,좌표(x),좌표(y),동,요양기관명_y,주차가능대수,주차비용부담여부,주차_기타안내사항,응급실 주간운영여부,응급실 야간운영여부,접수시간_평일,접수시간_토요일,오시는 길,휴진 안내,점심시간,비고,일요일 진료시작시간,일요일 진료종료시간,월요일 진료시작시간,월요일 진료종료시간,화요일 진료시작시간,화요일 진료종료시간,수요일 진료시작시간,수요일 진료종료시간,목요일 진료시작시간,목요일 진료종료시간,금요일 진료시작시간,금요일 진료종료시간,토요일 진료시작시간,토요일 진료종료시간,count_null
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,롯데약국,81,약국,210000,부산,210011,부산금정구,구서동,46243,부산광역시 금정구 구서로 17 1층 (구서동),1998-03-30,129.0890496,35.2466285,구서동,롯데약국,4,Y,야간(19시 이후)엔 운영하지 않습니다.,N,N,,,구서시장 맡은 편 덕원메디칼 빌딩 1층 구서시장에서 부산은행 방향 좌측 약 30m,"[휴진 안내]
일요일 : 매월 2주, 5주 쉽니다.
공휴일 : 09시부터 17시까지 운영합니다.","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 매월 2주, 5주 쉽니다.
공휴일 : 09시부터 17시까지 운영합니다.

[점심 시간]
평일 : 없음
토요일 : 없음",:11:00,:19:59,8:30:00,21:30:59,8:30:00,21:30:59,8:30:00,21:30:59,8:30:00,21:30:59,8:30:00,21:30:59,8:30:00,19:00:59,0
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,부평자애약국,81,약국,220000,인천,220003,인천부평구,부평동,21430,인천광역시 부평구 동수로 50 (부평동),2012-09-14,126.724136,37.4851102,부평동,부평자애약국,,,,N,N,,,롯데백화점사거리 로얄프라자 1층  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,19:00:59,9:00:00,19:00:59,9:00:00,19:00:59,9:00:00,19:00:59,9:00:00,19:00:59,9:00:00,17:00:59,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQwMyQzNjE4MzIjNjEjJDEjJDgjJDgz,정성온누리약국,81,약국,110000,서울,110013,영등포구,신길동,7436,서울특별시 영등포구 신길로 36 (신길동),2010-03-02,126.9087385,37.4957913,신길동,정성온누리약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:15:00,:20:59,8:30:00,22:00:59,8:30:00,22:00:59,8:30:00,22:00:59,8:30:00,22:00:59,8:30:00,22:00:59,8:30:00,21:00:59,0
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxOTYxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjODEjJDEjJDYjJDgz,오거리 수약국,81,약국,310000,경기,312100,이천시,,17363,"경기도 이천시 이섭대천로 1242 107호 (창전동, 정곤빌딩)",2015-12-09,127.4472093,37.2812207,창전동,오거리 수약국,30,Y,방문해 약국도장 받으면 30분은 무료주차 가능합니다.(동부과수농협 뒤쪽에 약국건물 흥인프라자 주차장이 있습니다),N,N,,,  ,"[휴진 안내]
일요일 : 매주 휴진
공휴일 : 오전10시~오후8시까지","[점심 시간]
평일 : 오후1시~2시
토요일 : 점심시간 없이 오후3시까지 근무","[휴진 안내]
일요일 : 매주 휴진
공휴일 : 오전10시~오후8시까지

[점심 시간]
평일 : 오후1시~2시
토요일 : 점심시간 없이 오후3시까지 근무",:n:00,:n:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,15:00:59,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz,행복가득한약국,81,약국,310000,경기,311901,고양덕양구,,10524,경기도 고양시 덕양구 무원로 62 1층 (행신동),2012-07-02,126.8325519,37.6184303,행신동,행복가득한약국,,,,N,N,09시 - 22시,09시 - 22시,무원마을 10단지 정문 맞은편 10m,"[휴진 안내]
일요일 : 10시 - 22시
공휴일 : 10시 - 22시","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 10시 - 22시
공휴일 : 10시 - 22시

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,초원약국,81,약국,110000,서울,110015,은평구,응암동,3464,서울특별시 은평구 은평로10길 4 (응암동),2012-07-02,126.9228255,37.5999831,응암동,초원약국,,,,N,N,,,  ,"[휴진 안내]
일요일 : 휴진
공휴일 : 휴진","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 휴진
공휴일 : 휴진

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz,희망찬약국,81,약국,220000,인천,220006,인천남동구,,21545,인천광역시 남동구 남동대로 900 (간석동),2007-01-15,126.7085617,37.4627226,,희망찬약국,4,N,,N,N,,,나사렛한방병원입구 간석농협중앙회앞 ,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,17:00:59,2
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ5IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,평제약국,81,약국,110000,서울,110007,동대문구,제기동,2478,서울특별시 동대문구 약령시로 51 (제기동),1981-04-10,127.0357828,37.5830158,제기동,평제약국,,,약국앞에주차할수있음,N,N,,,  ,"[휴진 안내]
일요일 : 휴업
공휴일 : 휴업","[점심 시간]
평일 : 12시00분--13시00분
토요일 : 12시00분--13시00분","[휴진 안내]
일요일 : 휴업
공휴일 : 휴업

[점심 시간]
평일 : 12시00분--13시00분
토요일 : 12시00분--13시00분",:n:00,:n:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,21:00:59,9:00:00,20:00:59,2
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDgjJDgz,문학사랑약국,81,약국,220000,인천,220001,인천미추홀구,문학동,22238,인천광역시 미추홀구 소성로326번길 4 (문학동),2007-05-23,126.6832653,37.4373867,문학동,문학사랑약국,,,,N,N,,,문학동 구도로 문학우체국 건너편에서 2분거리  ,"[휴진 안내]
일요일 : 전부 휴진
공휴일 : 12:00~20:00","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 전부 휴진
공휴일 : 12:00~20:00

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,21:30:59,9:00:00,20:00:59,2
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,염산종로약국,81,약국,360000,전남,360014,영광군,,57066,전라남도 영광군 염산면 천년로 20-1 (),2015-01-16,126.3741659,35.2171474,,염산종로약국,,,선착장 공용주차장 이용 가능,N,N,,,고흥군 도양읍 소록도 선착장 북쪽으로 20m 즐거운내과와 연세의원사이,"[휴진 안내]
일요일 : 없음
공휴일 : 없음","[점심 시간]
평일 : 없음
토요일 : 없음","[휴진 안내]
일요일 : 없음
공휴일 : 없음

[점심 시간]
평일 : 없음
토요일 : 없음",:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,:n:00,:n:59,14
