,ID,REPLY,LIKE,LIKE2
0,주식회사 짱호,@->----이번 추석에는 선물이 안들어와서 시원섭섭했는데 이 종합선물세트를 받기위해 그런것같습니다. 명절에 해주는 특선영화보다 연예인들이 나오는 청백전보다 더 재미난것같습니다. 내가 나와서는 아니고. 으하하남은 한해 건강하시고 웃는일들 가득하시길 기원합니다.- 李 택조형! -,6천,6000
1,_kimga nice,밥 먹을때 틀어놓고 보기 딱 좋음!!! 진짜 소중한 한사랑산악회 오래갑시다,440,440
2,김안녕,"집에 어른들 모여서 즐겁게 떠들때, 옆에서 놀다가 뜨끈한 바닥에서 땀뻘뻘흘리며 꿀잠자던 어린시절로 돌아간것 같아서 좋음.",924,924
3,김경희,산악회 너무 좋아요!산악회 제발 계속 해주세요!^^,65,65
4,동동,나의 넥스트 무한도전 되어버린 한사랑산악회.. 작업할때 틀어놓고 보는데 최고되네요,36,36
5,옹서,택조아저씨의 핸드폰케이스에 꽂힌 카드명함까지 완벽하다..진짜 진정 한사랑산악회 올해 연기대상감임..,232,232
6,a fun life,이거 틀어놓고 매일 자는데  너무 조음..♡ 요즘 힘든일있어서  다 내려놓고싶고 죽을거같은데 힘이 많이 됨.. ㅜㅜ,273,273
7,Karikari_H,"내용도 있고,, 감동도 있고,, 세계관,, 현실고증 디테일은 말할것도 없고,, 아저씨들 각자 매력있고 캐릭터 확실하고,, 아니 진짜 흠잡을곳이 없다. 이분들 진짜 대성했음 좋겠다.. 특히 탤런트 있는 택조아저씨 진짜 개좋아! 내맘속에 회장!ㅋㅋㅋ 열정열정열정!!!!️",469,469
8,poeing,"그냥 내가 좋아하는 파트 +계속 업뎃함요5:14 교수님 팝송7:23 청바지, 열정열정열정9:02 칸베이어 콘베이어 사람 셋중 하나는 스승11:30 틈새 열정열정열정13:35 저스트 어 모먼트30:41 이판한판 싯팔! 오늘밤이다 싯팔!34:26 ㅋㅋㅋㅋㅋㅋ택조아재세수35:14 열정열정열정36:16 다이아몬드 스텝, 내츄럴, 사파이어 스텝38:41 광용이 ㅋㄱㅋㄱㅋ눕방체조 ㅋㅋㅋㅋ39:07 빨리와 열정이없어43:31 찰진 싯팔, 욕은안돼, 옷벗음과 현웃44:31 깨진 바가지58:30 누나 언니, 누가 나의편 언제나 니편1:00:08 택조 술 요일송1:07:05 만나서 반갑다고 반가우우우1:14:18 배용길 관상1:51:23 나뭇잎 회장 투표2:00:24 야망의 이택조, 선글라스의 마법2:08:18 *감동 영남회장 계단 띵언2:10:03 ㅋㅋㅋㅋㅋㅋ택조눈물세수2:14:15 구도 개웃김ㅋㅋ  감동드라마♡3:13:09 어! 어어 에 에에 으 어~!",265,265
9,리누,"처음엔 사람들이 개그 컨셉으로 웃고 즐겼는데, 시간이 지나니 적지 않은 사람들이 힐링과 위로와 평안을 얻고 가네피식대학 잘 안 보고 이 컨텐츠도 유명하단 거 알기만 하는데, 여러모로 역대급 컨텐츠인 건 확실하다",170,170
10,bobo miniature,이렇게 사랑스런 청년들을 봤나...당신들의 열정에 정말 감사합니다. 너무 많이 웃어서 행복해요~♡,94,94
11,핑크젤리♥,"웃음만 있는게 아니라 아버지들의 삶의 애환, 감동, 우정, 가족애 다 들어 있는 것 같네요재밌게 잘 봤습니다~",8,8
12,강ᄌ,오래 오래 했으면 좋겠어요. 재미도 있지만 우리 아버지들의 모습을 보는거 같아 너무 좋아요.,558,558
